tree_id,樹種,経度,緯度,区分,場所,出典
PT0239-00-0028,マツ,139.6255319,35.67946528,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0029,マツ,139.6256289,35.67946294,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0031,マツ,139.6255057,35.67944336,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0034,マツ,139.6255525,35.67941514,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0035,マツ,139.6254816,35.67941136,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0036,マツ,139.6255786,35.67940169,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0037,マツ,139.6254968,35.67936864,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0039,マツ,139.625574,35.67936519,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0040,マツ,139.6255878,35.67933775,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0042,マツ,139.6256109,35.67930614,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0092,マツ,139.6254374,35.67896064,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0098,マツ,139.6254344,35.67893644,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0171,マツ,139.6269157,35.67871289,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0174,マツ,139.6269301,35.67870703,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0180,マツ,139.626936,35.67869947,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0207,マツ,139.6270502,35.67862833,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0286,マツ,139.6272299,35.67846772,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-0859,マツ,139.6267352,35.67757453,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0239-00-1125,アカマツ,139.6254774,35.67709717,公園樹木（杉並区）,柏の宮公園,suginami_park_matsu
PT0245-00-0008,マツ,139.621385,35.708865,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0010,マツ,139.6213497,35.70885333,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0016,アカマツ,139.6211973,35.70876222,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0019,アカマツ,139.6211898,35.70873581,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0049,マツ,139.6213136,35.70851847,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0064,マツ,139.6213379,35.70845797,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0245-00-0075,マツ,139.6212569,35.70844428,公園樹木（杉並区）,天沼弁天池公園,suginami_park_matsu
PT0249-00-0011,アカマツ,139.6275361,35.69094364,公園樹木（杉並区）,成田西切通し緑地,suginami_park_matsu
PT0249-00-0049,アカマツ,139.6275312,35.69078189,公園樹木（杉並区）,成田西切通し緑地,suginami_park_matsu
PT0251-00-0005,アカマツ,139.6246514,35.69882231,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0007,アカマツ,139.6246765,35.69880989,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0008,アカマツ,139.6246339,35.69880081,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0009,アカマツ,139.6246594,35.69879822,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0012,アカマツ,139.6246765,35.69878411,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0014,アカマツ,139.6246415,35.69877572,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0021,アカマツ,139.6246367,35.69875683,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0022,アカマツ,139.6246691,35.69875247,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0023,アカマツ,139.6245575,35.69874839,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0026,アカマツ,139.6246259,35.69873303,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0027,アカマツ,139.6245515,35.69872942,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0039,アカマツ,139.6243864,35.69871311,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0053,アカマツ,139.6243415,35.698677,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0068,アカマツ,139.6243706,35.698652,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0077,アカマツ,139.6243725,35.69864189,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0251-00-0085,アカマツ,139.6243016,35.69862147,公園樹木（杉並区）,角川庭園,suginami_park_matsu
PT0253-00-0001,マツ,139.5980684,35.70803133,公園樹木（杉並区）,坂の上のけやき公園,suginami_park_matsu
PT0254-01-0205,アカマツ,139.6231493,35.68020633,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-01-0226,アカマツ,139.6231468,35.68017367,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-01-0435,アカマツ,139.6225756,35.67948583,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-01-0437,アカマツ,139.6229108,35.67948383,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-01-0442,アカマツ,139.6227352,35.67945828,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0043,アカマツ,139.6239372,35.67871458,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0080,アカマツ,139.6240823,35.67864933,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0097,アカマツ,139.6241462,35.67861061,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0121,アカマツ,139.6242333,35.67855064,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0133,アカマツ,139.6242788,35.67851731,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0134,アカマツ,139.6243044,35.67850961,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0136,アカマツ,139.62433,35.67850367,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0254-02-0141,アカマツ,139.6243226,35.67849586,公園樹木（杉並区）,三井の森公園,suginami_park_matsu
PT0256-00-0006,ゴヨウマツ,139.6404896,35.71147597,公園樹木（杉並区）,Aさんの庭,suginami_park_matsu
PT0267-00-0002,クロマツ,139.6344656,35.68183378,公園樹木（杉並区）,浜田山四丁目緑地,suginami_park_matsu
PT0267-00-0003,マツ,139.6344419,35.68173144,公園樹木（杉並区）,浜田山四丁目緑地,suginami_park_matsu
PT0273-00-0021,クロマツ,139.6426757,35.68234633,公園樹木（杉並区）,大宮の杜緑地,suginami_park_matsu
PT0273-00-0039,クロマツ,139.6426567,35.68230622,公園樹木（杉並区）,大宮の杜緑地,suginami_park_matsu
PT0273-00-0076,アカマツ,139.6424213,35.68222614,公園樹木（杉並区）,大宮の杜緑地,suginami_park_matsu
PT0273-00-0150,アカマツ,139.6423459,35.68211478,公園樹木（杉並区）,大宮の杜緑地,suginami_park_matsu
